id,name,description,category,latitude,longitude,source,source_url,tags,prefecture
overpass-0198,九鬼山,ja:九鬼山,walking,35.5766578,138.9510613,overpass,https://www.openstreetmap.org/node/2422431664,,tokyo
overpass-0199,天狗岩,,meditation,35.5762537,138.9480011,overpass,https://www.openstreetmap.org/node/2422438474,,tokyo
overpass-0200,白丸発電所,,meditation,35.8113456,139.1236587,overpass,https://www.openstreetmap.org/node/2435296345,,tokyo
overpass-0201,御正体山,ja:御正体山,walking,35.486904,138.931697,overpass,https://www.openstreetmap.org/node/2441134639,,kanagawa
overpass-0202,救命艇,,meditation,35.6192229,139.7737283,overpass,https://www.openstreetmap.org/node/2455022781,,tokyo
overpass-0203,２、３番ハッチ,,meditation,35.6191081,139.7735413,overpass,https://www.openstreetmap.org/node/2455026456,,tokyo
overpass-0204,川苔山,,walking,35.8508058,139.1068845,overpass,https://www.openstreetmap.org/node/2467223772,,tokyo
overpass-0205,畦ヶ丸山,ja:畦ヶ丸,walking,35.4780163,139.0321841,overpass,https://www.openstreetmap.org/node/2467315131,,kanagawa
overpass-0206,ゴルフ場どおり,,meditation,35.407363,138.856516,overpass,https://www.openstreetmap.org/node/2470714678,,kanagawa
overpass-0207,茶屋のだんどうりえ,,meditation,35.403992,138.851476,overpass,https://www.openstreetmap.org/node/2470715118,,kanagawa
overpass-0208,富士山景観 観測塔,,meditation,35.403442,138.866952,overpass,https://www.openstreetmap.org/node/2471656680,,kanagawa
overpass-0209,やまと山,,walking,35.4372646,139.4518288,overpass,https://www.openstreetmap.org/node/2475364039,,kanagawa
overpass-0210,高川山,ja:高川山,walking,35.5861399,138.9020358,overpass,https://www.openstreetmap.org/node/2510257735,,tokyo
overpass-0211,三条ダルミ,,meditation,35.8522154,138.9378448,overpass,https://www.openstreetmap.org/node/2520910977,,tokyo
overpass-0212,神戸岩,,meditation,35.7562768,139.114301,overpass,https://www.openstreetmap.org/node/2530497164,,tokyo
overpass-0213,蕨山,,walking,35.8963402,139.1319191,overpass,https://www.openstreetmap.org/node/2548285580,,tokyo
overpass-0214,大ヨケの頭,,walking,35.8825135,139.1504926,overpass,https://www.openstreetmap.org/node/2548302990,,tokyo
overpass-0215,藤棚山,,walking,35.8914158,139.1425691,overpass,https://www.openstreetmap.org/node/2548302991,,tokyo
overpass-0216,大久保山,,walking,35.6359187,139.0084811,overpass,https://www.openstreetmap.org/node/2550178983,,tokyo
overpass-0217,高指山,ja:高指山 (埼玉県),walking,35.8972591,139.3004857,overpass,https://www.openstreetmap.org/node/2559490172,,tokyo
overpass-0218,富士見山,,meditation,35.7338666,139.746101,overpass,https://www.openstreetmap.org/node/2560907823,,tokyo
